# State log
# simt, id, lat, lon, distflown, alt, cas, tas, gs
0.00000000,EVT_SBGR_FAA_P1_000,-23.43200000,-46.47000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.00000000,EVT_SBGR_FAA_P1_000,-23.43200000,-46.47000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2.00000000,EVT_SBGR_FAA_P1_000,-23.43200000,-46.47000000,0.00000000,1.16205000,0.00000000,0.00000000,0.00000000
3.00000000,EVT_SBGR_FAA_P1_000,-23.43200000,-46.47000000,0.00000000,3.70205000,0.00000000,0.00000000,0.00000000
4.00000000,EVT_SBGR_FAA_P1_000,-23.43200000,-46.47000000,0.00000000,6.24205000,0.00000000,0.00000000,0.00000000
5.00000000,EVT_SBGR_FAA_P1_000,-23.43200000,-46.47000000,0.00000000,8.78205000,0.00000000,0.00000000,0.00000000
6.00000000,EVT_SBGR_FAA_P1_000,-23.43200000,-46.47000000,0.00000000,11.32205000,0.00000000,0.00000000,0.00000000
7.00000000,EVT_SBGR_FAA_P1_000,-23.43200000,-46.47000000,0.00000000,13.86205000,0.00000000,0.00000000,0.00000000
8.00000000,EVT_SBGR_FAA_P1_000,-23.43200202,-46.46999997,0.22500000,16.38300000,0.89929771,0.90000000,0.90000000
9.00000000,EVT_SBGR_FAA_P1_000,-23.43201956,-46.46999966,2.17500000,18.92300000,2.89738361,2.90000000,2.90000000
10.00000000,EVT_SBGR_FAA_P1_000,-23.43205508,-46.46999905,6.12500000,21.46300000,4.89498217,4.90000000,4.90000000
11.00000000,EVT_SBGR_FAA_P1_000,-23.43210858,-46.46999813,12.07500000,24.00300000,6.89209364,6.90000000,6.90000000
12.00000000,EVT_SBGR_FAA_P1_000,-23.43218007,-46.46999689,20.02500000,26.54300000,8.88871836,8.90000000,8.90000000
13.00000000,EVT_SBGR_FAA_P1_000,-23.43226954,-46.46999535,29.97500000,29.08300000,10.88485670,10.90000000,10.90000000
14.00000000,EVT_SBGR_FAA_P1_000,-23.43237699,-46.46999350,41.92500000,31.62300000,12.88050911,12.90000000,12.90000000
15.00000000,EVT_SBGR_FAA_P1_000,-23.43250243,-46.46999133,55.87500000,34.16300000,14.87567611,14.90000000,14.90000000
16.00000000,EVT_SBGR_FAA_P1_000,-23.43264086,-46.46998895,71.26983515,36.70300000,15.43332000,15.46044019,15.46044019
